"","a1","a2","a3","a4","b1","b2","b3","b","g","u"
"P5_17_1",0.753,0,0,0,-1.433,-0.324,1.29,NA,NA,NA
"P5_17_2",1.987,0,0,0,-0.456,0.182,1.113,NA,NA,NA
"P5_17_3",2.714,0,0,0,-0.431,0.098,0.883,NA,NA,NA
"P5_17_4",1.703,0,0,0,-0.928,-0.348,0.561,NA,NA,NA
"P5_16_1",0.469,0,0,0,1.465,4.251,NA,NA,NA,NA
"P5_16_3",0.585,0,0,0,1.943,3.635,NA,NA,NA,NA
"P5_1",0.523,0,0,0,NA,NA,NA,0.292,0,1
"P5_2_4",0.329,0,0,0,NA,NA,NA,2.303,0,1
"P5_26",0.861,0,0,0,-2.535,-1.263,0.096,NA,NA,NA
"P6_4_1",0,0.444,0,0,NA,NA,NA,4.915,0,1
"P6_4_2",0,0.409,0,0,NA,NA,NA,2.099,0,1
"P6_14_1",0,4.131,0,0,NA,NA,NA,-0.283,0,1
"P6_14_2",0,2.317,0,0,NA,NA,NA,-0.946,0,1
"P7_37",0,0,1.374,0,-3.363,-1.91,0.11,NA,NA,NA
"P7_38",0,0,1.328,0,-3.056,-1.882,0.183,NA,NA,NA
"P7_40_1",0,0,0.295,0,NA,NA,NA,4.014,0,1
"P7_40_2",0,0,1.106,0,NA,NA,NA,-2.074,0,1
"P7_40_3",0,0,1.621,0,NA,NA,NA,-1.52,0,1
"P7_40_4",0,0,1.006,0,NA,NA,NA,-1.455,0,1
"P7_40_5",0,0,1.435,0,NA,NA,NA,-2.46,0,1
"P7_40_6",0,0,2.263,0,NA,NA,NA,-2.56,0,1
"P7_1",0,0,0.059,0,NA,NA,NA,-1.745,0,1
"P7_9",0,0,-0.092,0,NA,NA,NA,-19.189,0,1
"P8_9_12",0,0,0.543,0,-2.173,11.723,NA,NA,NA,NA
"P10_5_1",0,0,0,1.6,NA,NA,NA,0.63,0,1
"P10_5_2",0,0,0,1.309,-0.891,3.424,NA,NA,NA,NA
"P10_5_3",0,0,0,1.421,-0.628,3.46,NA,NA,NA,NA
"P10_5_4",0,0,0,1.321,-0.693,5.338,NA,NA,NA,NA
"P10_3",0,0,0,0.086,NA,NA,NA,-3.055,0,1
"P10_6",0,0,0,-0.285,NA,NA,NA,-1.115,0,1
"P10_8",0,0,0,-0.321,NA,NA,NA,2.469,0,1
